1|(COLECCION LITERARIA)
2|0'DONNELL PACHO
3|0'REILLY EMMA
4|A
5|A ZETA
6|A-Z
7|AA
8|AAFMHA
9|ABAD NORBERTO ANTONIO
10|ABAD,ALIDA,FERRAGUT,MIRTA
11|ABADA ALIDA Y OTROS
12|ABAJO OLIVARES
13|ABAL DE HEVIA ISABEL
14|ABALO CARLOS
15|ABALOS JORGE
16|ABALOS JORGE W
17|ABALOS JORGE WASHINGTON
18|ABALOS JORGE WASHINGTONG
19|ABB BRIAN
20|ABBAGNANO NICOLA
21|ABBATE FRANCESCO
22|ABBS BRIAN
23|ABBS BRIAN FREEBAIRN INGRID
24|ABBS BRIANY FREEBAIRN INGRID
25|ABEIJON ASENCIO
26|ABELEDO PERROT
27|ABELLA ARMADA JAVIER
28|ABELLAN KARINA
29|ABELLAN KARINA MARISA
30|ABELLAN, KARINA
31|ABERASTURY ARMINDA
32|ABERASTURY ARMINDA-KNOBEL MAUR
33|ABERNETHY KATLEEN
34|ABETTI GIORGIO
35|ABIATTE MABEL
36|ABLIGADO PEDRO MIGEL
37|ABRAHAMS PETER
38|ABUCHAEM JAMIL
39|ABUCHAFAR ABENTOFAIL
40|ABUELAS DE PLAZA DE MAYO
41|ABUT JOSE
42|ACADEMIA DEL PLATA
43|ACADEMIA ESPA�OLA MADRID
44|ACADEMIA NACIONAL DE BELLAS A.
45|ACADEMIA NACIONAL DE BELLAS AR
46|ACADEMIA NACIONAL DE LA HISTO
47|ACADEMIA NACIONAL DE LA HISTOR
48|ACADEMIAS PITMAN
49|ACDEEL ERNESTO SALAS
50|ACEBO IBA�ES ENRIQUE DE
51|ACEBO IBA�ES ENRIQUE Y OTROS
52|ACERBO TRIESTR R
53|ACEVEDO DIAZ EDUARDO
54|ACEVEDO HUGO
55|ACEVES PARRA SALVADOR
56|ACHA OMAR
57|ACHA PATRICIA
58|ACHA PATRICIA Y OTROS
59|ACHAVAL ALFREDO
60|ACKERKENECHT ERWIN H
61|ACKERMAN BRUCE
62|ACKERMAN MARIO EDUARDO
63|ACKLEY GARDNER
64|ACOSTA JULIO
65|ACOSTA MARY
66|ACRI JUAN BAUTISTA
67|ACTIVA PUERTO DE PALOS
68|ACU�A ANGEL
69|ACU�A JUAN ENRIQUE
70|ACU�A PATRICIA
71|ACU�A VICTOR
72|ACU�A VICTOR M.
73|ADA ALMA FLOR
74|ADAM ERNESTO
75|ADAM PUIG P
76|ADAM SMITH
77|ADAMS GERRY
78|ADAMS JOHN CLARKE
79|ADAMS RICHARD
80|ADAMSON JOY
81|ADELINA GARCIA
82|ADLER ALFRED
83|ADLER ELIZABETH
84|ADLER IRVING
85|ADLER MORTIMER J
86|ADLER WARREN
87|ADORNO THEODOR W
88|ADRAGNA ELENA
89|ADRAGNA ELENA BEATRIZ
90|ADRIAN L CHAVEZ
91|ADRIANI JOHN
92|ADURIZ BRAVO
93|AEBLI HANS
94|AEPPLI ERNET
95|AFANASIEV
