1|"CARACAS""EL ATENEO"""
2|"COLECCION ""LA NAVE"""
3|"REVISTA ""NOSOTROS"""
4|1976
5|2000
6|7 LLAVES
7|;EXUR
8|A & L
9|A BOIS
10|A L
11|A PE•A LILLO
12|A Z
13|A ZETA
14|A&L
15|A&L EDITORES
16|A-Z
17|A-Z EDITORA
18|A-Z.
19|A-ZETA
20|A. CANTIELLO
21|A. PE•A LILLO
22|A. V. LOPEZ
23|A.D.H.A.S.A
24|A.G.E.A.
25|A.H.R
26|A.H.R.
27|A.I.D.
28|A.MACHADO LIBROS
29|A.P.NAPOLITANO
30|A.T.E
31|A.T.E.
32|AA
33|ABACO
34|ABANICO
35|ABECE
36|ABELDO PERROT
37|ABELEDO PERROT
38|ABELEDO Y PERROT
39|ABELEDO-PEROT
40|ABELEDO-PERROT
41|ABERIA
42|ABEY
43|ABRAN CANCHA
44|ABRAXAS
45|ABRIL
46|ABRIL CULTURA
47|ABRIL CULTURAL
48|ABRIL NORILDIS
49|ABRIL VICTOR
50|AC
51|ACADEMIA ARG. DE LETRAS
52|ACADEMIA ARGENTINA DE GEOGRAFI
53|ACADEMIA ARGENTINA DE LAS LET.
54|ACADEMIA ARGENTINA DE LETRAS
55|ACADEMIA DE CIENCIAS
56|ACADEMIA DEL PLATA
57|ACADEMIA NACIONAL DE BELLAS AR
58|ACADEMIA NACIONAL DE CIENCIAS
59|ACADEMIA NACIONAL DE DERECHO Y
60|ACADEMIA NACIONAL DE HISTORIA
61|ACADEMIA NACIONAL DE LA HISTO
62|ACADEMIA NACIONAL DE LA HISTOR
63|ACADEMIAS PITMAN
64|ACADEMO
65|ACANTO
66|ACCINELI HERMANOS
67|ACCION
68|ACCION CATOLICA ARGENTINA
69|ACERVO
70|ACME
71|ACONCAGUA
72|ACRIBIA
73|ACTIVA POLIMODAL
74|ACTIVA PUERTO DE PALOS
75|ACUARIO
76|ADAGRAF
77|ADDISON WELEY LONGMAN
78|ADDISON WESLEY
79|ADDISON WESLEY IBEROAMERICANA
80|ADDISON WESLEY LONGMAN
81|ADIAX
82|ADMINISTRACION DE PARQUES NACI
83|ADRIANA HIDALGO
84|ADRIANA HIDALGO EDITORA
85|ADRIANA HIDELGO
86|ADROGRAF
87|ADROGUE G.
88|ADVOCATUS
89|AEDOS
90|AENOR
91|AERONAUTICAS
92|AFHA
93|AFORA
94|AFRICA HISTORIA
95|AFRODISIO AGUADO
96|AGA TAURA
97|AGAMA
98|AGAR-CROSS CO.LTD.
99|AGBE
100|AGEA
101|AGEBE
102|AGENCIA GENERAL DE LIBRERIA Y
103|AGENCIA PARA EL DESARROLLO INT
104|AGEPE
105|AGGS
106|AGON
107|AGORA
108|AGRO VET
109|AGUADO
110|AGUDO
111|AGUILAR
112|AGUILERA
113|AGUSTIN RUI
114|AHR
115|AID
116|AID ROBLE
117|AIQUE
118|AIQUE POLIMODAL
119|AITEA
120|AKADIA
121|AKAL
122|AKAL EDICIONES
123|AL EDITORES
