1|HISTORIA DE LA CIENCIA
2|JAVIER
3|ENCICLOPEDIA MEDICA
4|CIENCIA
5|ADMINISTRACION PUBLICA
6|HISTOLOGIA
7|FISIOLOGIA
8|SEMIOLOGIA MEDICA
9|PATOLOGIA
10|ANESTESIA
11|ANALISIS MATEMATICO
12|FISICA
13|ELECTRICIDAD
14|HIDRAULICA
15|CLINICA MEDICA
16|LANARES
17|PEDIATRIA
18|DIAGNOSTICO CLINICO
19|RAYOS X
20|TERAPEUTICA
21|CORAZON
22|KINESIOLOGIA
23|PSICOLOGIA PATOLOGICA
24|CIRUGIA
25|FRANZ
26|PERCY A.
27|SEPTIMUS
28|SIN DATOS
29|CONTABILIDAD
30|CONTABILIDAD Y ADMINISTRACION
31|F.
32|NNN
33|MECANICA
34|INGENIERIA
35|MAQUINAS
36|ELECTROTECNIA
37|ELECTROCTENIA
38|ESTRUCTURAS
39|RIEGO
40|INGENIERIA ELECTRONICA
41|HORTICULTURA
42|PERROS
43|IMPRENTA
44|PRESUPUESTO
45|HORMIGON ARMADO
46|ARTE
47|ARQUITECTURA
48|URBANISMO
49|PLANIFICACION REGIONAL
50|ARQUITECTURA ARGENTINA
51|EDIFICIOS INDUSTRIALES
52|EDIFICIOS ESCOLARES
53|CONSTRUCCIONES ESCOLARES
54|NUMISMATICA
55|DIBUJO TECNICO
56|CONSTRUCCIONES
57|ACTIVIDADES MANUALES
58|PINTORES
59|PINTURA
60|PINTURA  VENEZOLANA
61|MUSICA
62|WAGNER RICHARD
63|MUSICA DICCIONARIO
64|OPERA
65|INSTRUMENTOS MUSICALES
66|MUSICA-HISTORIA
67|MUSICA SINFONICA
68|LITERATURA
69|DICCIONARIO LITERATURA
70|REVISTA
71|ORATORIA
72|LITERATURA INGLESA
73|LITERATURA ALEMANA
74|LITERATURA FRANCESA
75|LITERATURA ITALIANA
76|LITERATURA ESPA�OLA
77|TEATRO ESPA�OL
78|POESIA CHILENA
79|BEETHOVEN
80|NOVELAS ESPA�OLAS
81|POESIA ESPA�OLA
82|LITERATURA ARGENTINA
83|POESIA ARGENTINA
84|CUENTOS ARGENTINOS
85|NOVELAS ARGENTINAS
86|LEOPOLDO
87|MARCO TULIO
88|TEATRO GRIEGO
89|CESAR
90|ANATOMIA
91|MEDICINA
92|GEOGRAFIA UNIVERSAL
93|HISTORIA UNIVERSAL
94|HISTORIA-FILOSOFIA
95|ESTUDIO-FILOSOFIA
96|ISLAS MALAVINAS-HISTORIA
97|ARQUEOLOGIA
98|ESPA�A-GEOGRAFIA
99|GEOGRAFIA ARGENTINA
100|GEOGRAFIA DE SAN LUIS
101|DICCIONARIO-ARGENTINA-GEOGRAF.
102|RIVADAVIA-BERNARDINO
103|GEOGRAFIA-ATLAS
104|BIOGRAFIAS
105|SAN MARTIN JOSE FRANCISCO DE
106|REVISTAS ARGENTINAS
