1|"AUTOMOVILES""CITROEN"""
2|2 EGB
3|3 EGB
4|4 EGB
5|6 EGB
6|958-04-5910-X
7|ABEJA
8|ABEJAS
9|ABORIGENES
10|ABORIGENES ARGENTINOS
11|ABORIGENES HISTORIA ARGENTINA
12|ABORTO
13|ABORTO- MUJER-DERECHOS
14|ABORTO-LA MUJER Y EL DERECHO
15|ABUELAS DE PAZA DE MAYO
16|ABUELAS DE PLAZA DE MAYO
17|ACCESS
18|ACCIDENTES
19|ACCIDENTES-TRABAJO
20|ACCION-AGITACION Y LUCHAS POLI
21|ACERO - INDUSTRIA
22|ACERO-INDUSTRIA
23|ACONCAGUA
24|ACTIVIDADES MANUALES
25|ACTIVIDADES SOCIALES PARA EL D
26|ACTORES
27|ACTOS JURIDICOS-NULIDAD
28|ACTOS PATRIOS
29|ACUPUNTURA
30|ADICCIONES DROGADEPENDENCIA
31|ADIVINACION
32|ADIVINACIONES
33|ADIVINANZAS
34|ADM. DE EMP.
35|ADMINISTACION DE EMPRESAS
36|ADMINISTRACION
37|ADMINISTRACION 1 POLIMODAL
38|ADMINISTRACION CIENTIFICA
39|ADMINISTRACION DE EMPRESA
40|ADMINISTRACION DE EMPRESAS
41|ADMINISTRACION DEL EJERCITO
42|ADMINISTRACION INDUSTRIAL Y GE
43|ADMINISTRACION MUNICIPAL
44|ADMINISTRACION PUBLICA
45|ADMINISTRACION PUBLICA DERECHO
46|ADMINISTRACION PUBLICA MACION
47|ADMINISTRACION PUBLICA NACION
48|ADMINISTRACION Y ORGANIZACION
49|ADOLECENTE-PSICOLOGIA
50|ADOLESCENCIA
51|ADOLESCENCIA PSICOLOGIA
52|ADOLESCENCIA Y SALUD
53|ADOLESCENCIA-PSICOLOGIA
54|ADOPCION
55|ADUANAS-ARANCELES-ESTADISTICAS
56|ADVENTISTAS
57|AECONOMIA
58|AERODINAMICA
59|AERODINAMICA.
60|AEROMODELISMO
61|AERONAUTICA - HISTORIA
62|AERONAUTICA ARGENTINA -HISTORI
63|AFECCIONES BUCODENTALES
64|AFECCIONES BUCODENTARIAS
65|AFORISMOS
66|AFRICA
67|AFRICA ECONOMIA
68|AFRICA MARRUECOS TEXTO EN FRAN
69|AFRICA TEXTO EN FRANCES
70|AFRICA-HISTORIA
71|AGRICULTURA
72|AGRICULTURA ARGENTINA
73|AGRICULTURA EN FRANCES
74|AGRICULTURA-ASPECTOS ECONOMICO
75|AGRIMENSURA
76|AGRONOMIA
77|AGRONOMIA ARGENTINA
78|AGRONOMIA SUELOS
79|AGUA
80|AGUA-ABASTECIMIENTO
81|AGUA-ABASTECIMIENTO-USA
82|AGUAS MINERALES-ARGENTINA
83|AHORRO
84|AIRE
85|AIRE ACONDICIONADO
86|AJEDREZ
87|ALAMANAQUE MUNDIAL
88|ALBERDI BIOGRAFIA
89|ALBERDI JUAN BAUTISTA
90|ALCOHOLISMO
91|ALEJANDRO 1
92|ALEM LEANDRO N.
93|ALEM LEANDRO N.-BIOGRAFIA
94|ALEM LEANDRO-BIOGRAFIA
95|ALEMANIA
96|ALEMANIA - HISTORIA
97|ALEMANIA FILOSOFIA
98|ALEMANIA HISTORIA
99|ALEMANIA REVISTA
100|ALEMANIA-HISTORIA
101|ALEMANIA-HISTORIA CONTEMPORANE
102|ALERGIA
103|ALFABETIZACION
104|ALFONSO XII
105|ALGEBRA
106|ALGEBRA I
107|ALGEBRA II
108|ALGEBRA LINEAL
109|ALGEBRA Y GEOMETRIA
110|ALIMENTACION DEL GANADO
111|ALIMENTACION-CRIANZA
112|ALIMENTOS
113|ALIMENTOS COCINA
114|ALIMENTOS DICCIONARIO
115|ALIMENTOS Y SU PREPARACION
116|ALIMENTOS Y SUS PREPARACIONES
117|ALIMENTOS-PREPARACION
118|ALMANAQUE
119|ALMANAQUE MUNDIAL
120|ALMANAQUE MUNDIAL 1979
121|ALMANAQUE MUNDIAL 71
122|ALMANAQUE UNIVERSAL
123|ALMIRANTE BROWN-BIOGRAFIA
124|ALPINISMO
125|ALQUIMIA
126|ALUMBRADO AUTOMOVIL
127|ALVAREZ Y AGUSTIN
128|AMAZONAS DESCRIPCIONES Y VIAJE
129|AMBIENTOLOGIA
130|AMBIENTOLOGIA-GUIA
131|AMEGHINO FLORENTINO
132|AMERCIA GEOGRAFIA
133|AMERICA
134|AMERICA DEL NORTE-HISTORIA
135|AMERICA DEL SUD-VIAJES
136|AMERICA DEL SUR
137|AMERICA DEL SUR DERECHO
138|AMERICA DEL SUR-DESCRIPCIONES
139|AMERICA HISTORIA
140|AMERICA PREHISTORIA
141|AMERICA Y ANTARTIDA
142|AMERICA Y ANTARTIDA-GEOGRAFIA
143|AMERICA- HISTORIA
144|AMERICA-CONDICIONES SOCIALES
145|AMERICA-CULTURA
146|AMERICA-GEOGRAFIA
147|AMERICA-HISTORIA
148|AMOR
149|AMOR.
150|ANALES
151|ANALFABETISMO
152|ANALISIS CUANTITATIVO
153|ANALISIS FUNC.DE UNA VARIABLE
154|ANALISIS MATEMATICO
155|ANALISIS MATEMATICO INTEGRALES
156|ANALISIS VECTORIAL
